net,length_um
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit4.Q,7.56µm
_0401_,7.56µm
_0567_,7.56µm
_0677_,7.56µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A4,7.52µm
_0050_,7.52µm
_0154_,7.52µm
net283,7.52µm
Inst_LD_LUT4c_frame_config_dffesr.c_I0mux,7.515µm
_0441_,7.5µm
S2BEG[7],7.49µm
W1BEG[2],7.49µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit4.Q,7.48µm
_0387_,7.48µm
net332,7.48µm
net397,7.48µm
E6BEG[4],7.41µm
EE4BEG[5],7.41µm
FrameData_O[23],7.41µm
FrameData_O[25],7.41µm
FrameData_O[26],7.41µm
FrameData_O[27],7.41µm
FrameData_O[29],7.41µm
N4BEG[11],7.41µm
N4BEG[3],7.41µm
NN4BEG[1],7.41µm
NN4BEG[4],7.41µm
S2BEGb[3],7.41µm
S4BEG[1],7.41µm
S4BEG[9],7.41µm
SS4BEG[0],7.41µm
W2BEGb[3],7.41µm
W6BEG[4],7.41µm
WW4BEG[5],7.41µm
_0500_,7.4µm
N2BEGb[4],7.38µm
S4BEG[0],7.38µm
EE4BEG[3],7.37µm
FrameData_O[30],7.37µm
FrameStrobe_O[4],7.37µm
FrameStrobe_O[6],7.37µm
S4BEG[2],7.37µm
SS4BEG[4],7.37µm
W2BEG[7],7.37µm
W6BEG[0],7.37µm
_0563_,7.36µm
net275,7.36µm
Inst_LUT4AB_ConfigMem.Inst_Frame16_bit0.Q,7.345µm
Inst_LB_LUT4c_frame_config_dffesr.c_I0mux,7.34µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A10,7.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit13.Q,7.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit2.Q,7.32µm
_0034_,7.32µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit21.Q,7.3µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit24.Q,7.3µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,7.28µm
_0439_,7.28µm
S2END[5],7.26µm
S2MID[4],7.26µm
_0039_,7.26µm
_0295_,7.26µm
EE4END[3],7.25µm
FrameData[17],7.25µm
FrameStrobe[19],7.25µm
S2END[6],7.25µm
W6END[1],7.25µm
WW4END[3],7.25µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit23.Q,7.24µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A12,7.22µm
_0501_,7.22µm
net380,7.22µm
net648,7.22µm
_0557_,7.2µm
W6BEG[11],7.19µm
WW4BEG[13],7.19µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,7.18µm
_0542_,7.16µm
E1BEG[2],7.15µm
N2BEG[1],7.15µm
SS4BEG[14],7.15µm
S2END[1],7.14µm
SS4END[1],7.14µm
_0258_,7.14µm
_0314_,7.14µm
_0540_,7.14µm
_0632_,7.14µm
net177,7.14µm
net215,7.14µm
net239,7.14µm
net241,7.14µm
net252,7.14µm
net282,7.14µm
net628,7.125µm
net307,7.12µm
net412,7.12µm
Inst_LUT4AB_switch_matrix.E6BEG0,7.1µm
_0412_,7.1µm
_0527_,7.1µm
net207,7.1µm
EE4BEG[2],7.07µm
N2BEGb[3],7.07µm
N4BEG[4],7.07µm
N4BEG[5],7.07µm
S2MID[2],7.07µm
S2MID[5],7.07µm
WW4BEG[9],7.07µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,7.06µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit27.Q,7.06µm
_0222_,7.06µm
_0351_,7.06µm
E2BEG[7],7.03µm
FrameData[16],7.03µm
FrameStrobe[5],7.03µm
FrameStrobe_O[5],7.03µm
N2BEG[2],7.03µm
N2END[2],7.03µm
NN4END[0],7.03µm
S4BEG[14],7.03µm
S4BEG[15],7.03µm
W2BEG[3],7.03µm
W2END[0],7.03µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit9.Q,6.98µm
_0543_,6.98µm
FrameData[26],6.95µm
FrameData[28],6.95µm
FrameData[29],6.95µm
_0492_,6.94µm
E1BEG[1],6.92µm
E2BEGb[4],6.92µm
EE4BEG[0],6.92µm
EE4BEG[6],6.92µm
FrameData_O[22],6.92µm
FrameData_O[24],6.92µm
N4BEG[2],6.92µm
N4BEG[7],6.92µm
NN4BEG[11],6.92µm
S4BEG[4],6.92µm
S4BEG[8],6.92µm
SS4BEG[5],6.92µm
WW4BEG[11],6.92µm
WW4BEG[7],6.92µm
_0180_,6.92µm
EE4END[2],6.91µm
FrameStrobe[1],6.91µm
S2END[2],6.91µm
_0103_,6.9µm
_0647_,6.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit3.Q,6.86µm
E1END[1],6.8µm
FrameData[13],6.8µm
FrameData[15],6.8µm
FrameData[20],6.8µm
FrameData[24],6.8µm
N2MID[4],6.8µm
S1END[3],6.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit9.Q,6.78µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit2.Q,6.78µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit29.Q,6.76µm
_0091_,6.76µm
_0147_,6.76µm
_0274_,6.76µm
_0468_,6.76µm
_0498_,6.76µm
_0512_,6.76µm
E2BEG[3],6.73µm
E2BEGb[5],6.73µm
E6BEG[0],6.73µm
E6BEG[1],6.73µm
E6BEG[8],6.73µm
EE4BEG[8],6.73µm
FrameData[25],6.73µm
FrameData_O[28],6.73µm
FrameData_O[3],6.73µm
N1BEG[0],6.73µm
N2BEGb[5],6.73µm
N2MID[3],6.73µm
N4BEG[0],6.73µm
N4BEG[6],6.73µm
NN4BEG[0],6.73µm
NN4BEG[10],6.73µm
NN4BEG[6],6.73µm
S2BEGb[5],6.73µm
SS4BEG[11],6.73µm
SS4BEG[7],6.73µm
SS4BEG[8],6.73µm
W6BEG[1],6.73µm
W6BEG[7],6.73µm
W6BEG[8],6.73µm
WW4BEG[3],6.73µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A15,6.72µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A10,6.72µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A4,6.72µm
_0086_,6.72µm
_0151_,6.72µm
_0419_,6.72µm
_0534_,6.72µm
_0580_,6.72µm
_0597_,6.72µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit29.Q,6.7µm
FrameData[19],6.69µm
FrameData[7],6.69µm
FrameData_O[13],6.69µm
FrameData_O[17],6.69µm
FrameStrobe_O[0],6.69µm
FrameStrobe_O[2],6.69µm
FrameStrobe_O[3],6.69µm
S4BEG[12],6.69µm
S4BEG[6],6.69µm
S4END[0],6.69µm
SS4END[2],6.69µm
W2BEG[1],6.69µm
WW4BEG[8],6.69µm
FrameData[14],6.68µm
N2END[1],6.68µm
N2END[7],6.68µm
N4END[1],6.68µm
S2END[7],6.68µm
W2END[1],6.68µm
W2END[5],6.68µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A3,6.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit10.Q,6.66µm
_0163_,6.66µm
net257,6.66µm
Inst_LB_LUT4c_frame_config_dffesr.LUT_flop,6.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit7.Q,6.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame17_bit1.Q,6.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit18.Q,6.64µm
_0025_,6.64µm
_0195_,6.64µm
_0369_,6.64µm
_0627_,6.64µm
_0236_,6.62µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,6.6µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A3,6.6µm
_0310_,6.6µm
_0347_,6.6µm
_0462_,6.6µm
_0489_,6.6µm
_0602_,6.6µm
_0678_,6.6µm
E6END[0],6.57µm
N2END[0],6.57µm
N4END[2],6.57µm
W2END[2],6.57µm
W2END[4],6.57µm
_0279_,6.54µm
_0506_,6.52µm
_0024_,6.5µm
E2BEG[5],6.46µm
EE4BEG[9],6.46µm
N4BEG[8],6.46µm
S4BEG[10],6.46µm
_0026_,6.46µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit25.Q,6.45µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit4.Q,6.42µm
_0411_,6.42µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A5,6.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit8.Q,6.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit22.Q,6.38µm
_0234_,6.38µm
_0574_,6.38µm
_0089_,6.36µm
N2BEG[4],6.34µm
SS4BEG[12],6.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit24.Q,6.32µm
_0070_,6.32µm
_0383_,6.32µm
_0503_,6.32µm
Inst_LUT4AB_switch_matrix.N1BEG0,6.3µm
_0199_,6.3µm
_0316_,6.3µm
_0566_,6.3µm
_0657_,6.28µm
W2MID[5],6.27µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A0,6.26µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,6.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit28.Q,6.26µm
_0601_,6.26µm
_0650_,6.26µm
EE4END[1],6.23µm
FrameStrobe[2],6.23µm
FrameStrobe[3],6.23µm
FrameStrobe[7],6.23µm
N1END[2],6.23µm
SS4END[0],6.23µm
W2END[3],6.23µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A7,6.2µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit9.Q,6.2µm
net270,6.2µm
net289,6.2µm
net376,6.2µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,6.18µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit6.Q,6.18µm
_0060_,6.18µm
_0276_,6.18µm
_0384_,6.18µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,6.14µm
Inst_LF_LUT4c_frame_config_dffesr.c_reset_value,6.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame15_bit0.Q,6.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit16.Q,6.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit31.Q,6.14µm
_0037_,6.14µm
_0342_,6.14µm
_0428_,6.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit3.Q,6.06µm
_0067_,6.06µm
E6BEG[7],6µm
_0135_,5.98µm
_0613_,5.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit10.Q,5.96µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit17.Q,5.94µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A0,5.9µm
_0521_,5.86µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A7,5.84µm
_0568_,5.84µm
_0572_,5.84µm
_0622_,5.84µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A15,5.805µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A5,5.8µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A7,5.8µm
_0058_,5.8µm
_0200_,5.8µm
_0332_,5.8µm
_0434_,5.8µm
_0693_,5.8µm
net360,5.8µm
_0000_,5.765µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit2.Q,5.74µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A5,5.72µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,5.72µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A5,5.72µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit4.Q,5.72µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit20.Q,5.72µm
_0028_,5.72µm
_0479_,5.72µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit3.Q,5.7µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A3,5.68µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,5.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit31.Q,5.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame15_bit3.Q,5.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit10.Q,5.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit2.Q,5.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit27.Q,5.68µm
_0186_,5.68µm
_0528_,5.62µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit6.Q,5.6µm
_0201_,5.58µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit9.Q,5.56µm
_0668_,5.56µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit6.Q,5.5µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit0.Q,5.5µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit0.Q,5.49µm
_0087_,5.48µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit1.Q,5.46µm
_0176_,5.46µm
_0451_,5.46µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit5.Q,5.44µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,5.4µm
_0558_,5.4µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit19.Q,5.38µm
_0049_,5.38µm
_0184_,5.38µm
_0189_,5.38µm
_0493_,5.38µm
_0495_,5.38µm
_0670_,5.38µm
net295,5.38µm
Inst_LG_LUT4c_frame_config_dffesr.c_out_mux,5.365µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A12,5.34µm
Inst_LF_LUT4c_frame_config_dffesr.c_I0mux,5.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit22.Q,5.34µm
_0483_,5.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame15_bit5.Q,5.32µm
_0131_,5.28µm
_0516_,5.28µm
_0005_,5.265µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A0,5.26µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,5.26µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,5.26µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit24.Q,5.26µm
_0348_,5.26µm
_0465_,5.26µm
_0467_,5.26µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A10,5.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit2.Q,5.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit11.Q,5.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit10.Q,5.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit21.Q,5.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit7.Q,5.22µm
_0457_,5.22µm
_0590_,5.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit26.Q,5.19µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit9.Q,5.15µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A5,5.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit31.Q,5.14µm
_0491_,5.14µm
_0374_,5.135µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,5.12µm
_0329_,5.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit26.Q,5.1µm
_0007_,5.085µm
Inst_LUT4AB_switch_matrix.JW2BEG7,5.06µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit28.Q,5.04µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A13,5µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit17.Q,5µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit27.Q,5µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit29.Q,5µm
_0190_,4.94µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,4.92µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,4.92µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit28.Q,4.92µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,4.88µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A13,4.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit9.Q,4.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit0.Q,4.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit19.Q,4.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit31.Q,4.88µm
_0356_,4.88µm
_0375_,4.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit5.Q,4.87µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit23.Q,4.85µm
_0101_,4.82µm
_0485_,4.82µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A13,4.8µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,4.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit6.Q,4.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame13_bit28.Q,4.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit29.Q,4.8µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit0.Q,4.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit0.Q,4.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit24.Q,4.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit4.Q,4.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit29.Q,4.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit12.Q,4.76µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit5.Q,4.76µm
_0128_,4.76µm
_0363_,4.76µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,4.68µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A9,4.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame18_bit1.Q,4.68µm
_0367_,4.68µm
_0690_,4.66µm
Inst_LUT4AB_switch_matrix.NN4BEG3,4.6µm
_0426_,4.6µm
_0004_,4.585µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit27.Q,4.58µm
Inst_LUT4AB_ConfigMem.Inst_Frame15_bit28.Q,4.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit1.Q,4.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit6.Q,4.48µm
_0202_,4.48µm
_0409_,4.48µm
_0539_,4.48µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,4.46µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit25.Q,4.46µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit0.Q,4.46µm
_0042_,4.46µm
_0148_,4.46µm
_0379_,4.46µm
_0526_,4.46µm
Inst_LH_LUT4c_frame_config_dffesr.LUT_flop,4.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit7.Q,4.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit6.Q,4.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame17_bit2.Q,4.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit4.Q,4.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit6.Q,4.42µm
_0156_,4.42µm
_0298_,4.42µm
_0444_,4.42µm
net634,4.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit1.Q,4.41µm
Inst_LH_LUT4c_frame_config_dffesr.c_out_mux,4.36µm
_0604_,4.36µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,4.34µm
Inst_LF_LUT4c_frame_config_dffesr.c_out_mux,4.34µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,4.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit14.Q,4.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit5.Q,4.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit31.Q,4.34µm
_0353_,4.34µm
net682,4.34µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit18.Q,4.24µm
Inst_LE_LUT4c_frame_config_dffesr.c_reset_value,4.22µm
_0002_,4.165µm
_0248_,4.14µm
_0430_,4.14µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit14.Q,4.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit1.Q,4.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit1.Q,4.12µm
_0045_,4.12µm
_0406_,4.12µm
Inst_LUT4AB_ConfigMem.Inst_Frame12_bit22.Q,4.08µm
_0576_,4.02µm
Inst_LC_LUT4c_frame_config_dffesr.c_reset_value,4µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A2,4µm
Inst_LG_LUT4c_frame_config_dffesr.c_reset_value,4µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit24.Q,4µm
_0064_,4µm
_0196_,4µm
_0231_,4µm
_0438_,4µm
_0556_,4µm
_0575_,4µm
_0633_,4µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit5.Q,3.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit26.Q,3.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit12.Q,3.93µm
Inst_LC_LUT4c_frame_config_dffesr.c_out_mux,3.9µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A8,3.9µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A0,3.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit22.Q,3.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit3.Q,3.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit5.Q,3.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit0.Q,3.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit6.Q,3.9µm
_0403_,3.9µm
_0646_,3.9µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,3.88µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit29.Q,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit20.Q,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit28.Q,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit30.Q,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit28.Q,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit15.Q,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit22.Q,3.88µm
_0408_,3.88µm
_0609_,3.88µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit1.Q,3.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit3.Q,3.86µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit11.Q,3.79µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,3.785µm
_0634_,3.78µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A14,3.76µm
_0546_,3.76µm
_0524_,3.69µm
_0555_,3.68µm
_0689_,3.68µm
Inst_LC_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,3.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit1.Q,3.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit4.Q,3.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit2.Q,3.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame15_bit26.Q,3.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit7.Q,3.66µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit30.Q,3.66µm
_0134_,3.66µm
_0545_,3.66µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,3.65µm
Inst_LUT4AB_ConfigMem.Inst_Frame14_bit25.Q,3.64µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit25.Q,3.56µm
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit26.Q,3.56µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A1,3.54µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,3.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit22.Q,3.54µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit25.Q,3.54µm
_0036_,3.54µm
_0215_,3.54µm
_0330_,3.54µm
_0484_,3.54µm
_0517_,3.54µm
_0578_,3.54µm
_0638_,3.505µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit13.Q,3.49µm
Inst_LE_LUT4c_frame_config_dffesr.c_out_mux,3.44µm
Inst_LUT4AB_ConfigMem.Inst_Frame16_bit31.Q,3.44µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit0.Q,3.44µm
_0496_,3.44µm
_0497_,3.44µm
Inst_LA_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A11,3.42µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A6,3.42µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A0,3.42µm
Inst_LG_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A15,3.42µm
Inst_LH_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A15,3.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit19.Q,3.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit26.Q,3.42µm
_0009_,3.42µm
_0263_,3.42µm
_0361_,3.42µm
_0425_,3.42µm
_0454_,3.42µm
_0475_,3.42µm
_0598_,3.42µm
_0672_,3.42µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit4.Q,3.3µm
Inst_LUT4AB_ConfigMem.Inst_Frame11_bit6.Q,3.3µm
Inst_LUT4AB_ConfigMem.Inst_Frame9_bit26.Q,3.3µm
_0177_,3.3µm
_0262_,3.3µm
_0346_,3.3µm
_0536_,3.29µm
_0368_,3.22µm
_0449_,3.22µm
Inst_LD_LUT4c_frame_config_dffesr.c_reset_value,3.2µm
Inst_LF_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A0,3.2µm
Inst_LUT4AB_ConfigMem.Inst_Frame10_bit10.Q,3.2µm
Inst_LUT4AB_ConfigMem.Inst_Frame5_bit7.Q,3.2µm
Inst_LUT4AB_ConfigMem.Inst_Frame8_bit2.Q,3.2µm
_0382_,3.2µm
Inst_LD_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A15,3.1µm
_0397_,3.1µm
Inst_LA_LUT4c_frame_config_dffesr.c_out_mux,3.08µm
Inst_LB_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A3,3.08µm
