net,length_um
Inst_LUT4AB_ConfigMem.Inst_Frame6_bit14.Q,31.15µm
_0616_,31.06µm
_0654_,30.9µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit20.Q,30.7µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit20.Q,30.48µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit9.Q,30.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit10.Q,30.37µm
net70,30.28µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit11.Q,30.04µm
WW4END[7],29.99µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit16.Q,29.74µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit22.Q,29.65µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit11.Q,29.43µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit16.Q,29.4µm
_0283_,29.26µm
net644,29.16µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit22.Q,29.09µm
_0191_,28.98µm
Inst_LUT4AB_ConfigMem.Inst_Frame7_bit9.Q,28.01µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit9.Q,28µm
Inst_LUT4AB_switch_matrix.E2BEG0,27.72µm
_0338_,27.3µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit17.Q,27.26µm
Inst_LE_LUT4c_frame_config_dffesr.inst_cus_mux161_buf.A5,27.22µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit6.Q,27µm
WW4END[14],26.93µm
Inst_LUT4AB_switch_matrix.E2BEG7,26.68µm
W6END[4],26.68µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit7.Q,26.6µm
N4END[15],26.59µm
_0673_,26.56µm
_0307_,26.5µm
Inst_LUT4AB_ConfigMem.Inst_Frame0_bit12.Q,26.38µm
Inst_LUT4AB_ConfigMem.Inst_Frame4_bit16.Q,26.18µm
Inst_LUT4AB_ConfigMem.Inst_Frame1_bit12.Q,26.11µm
WW4END[4],26.09µm
E6END[5],26.06µm
Inst_LUT4AB_ConfigMem.Inst_Frame19_bit8.Q,25.84µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit10.Q,25.69µm
NN4END[8],25.57µm
_0394_,25.48µm
NN4END[4],25.45µm
Inst_LUT4AB_ConfigMem.Inst_Frame3_bit22.Q,25.42µm
_0311_,25.34µm
N4END[11],25.3µm
S4END[9],25.23µm
_0318_,25.1µm
_0226_,25.08µm
_0306_,25.06µm
_0328_,24.94µm
WW4END[6],24.92µm
Inst_LUT4AB_ConfigMem.Inst_Frame2_bit18.Q,24.9µm
N4END[14],24.89µm
SS4END[11],24.89µm
