Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_177_841,VPWR,li1,394.6800,486.8800,1.799999
FILLER_177_839,VPWR,li1,391.2300,486.8800,1.799999
FILLER_177_833,VPWR,li1,389.6200,486.8800,1.799999
FILLER_177_821,VPWR,li1,385.4800,486.8800,1.799999
FILLER_177_809,VPWR,li1,379.9600,486.8800,1.799999
FILLER_177_797,VPWR,li1,374.4400,486.8800,1.799999
FILLER_177_785,VPWR,li1,368.9200,486.8800,1.799999
FILLER_177_783,VPWR,li1,365.4700,486.8800,1.799999
FILLER_177_777,VPWR,li1,363.8600,486.8800,1.799999
FILLER_177_765,VPWR,li1,359.7200,486.8800,1.799999
FILLER_177_753,VPWR,li1,354.2000,486.8800,1.800000
FILLER_177_741,VPWR,li1,348.6800,486.8800,1.800000
FILLER_177_729,VPWR,li1,343.1600,486.8800,1.800000
FILLER_177_727,VPWR,li1,339.7100,486.8800,1.800000
FILLER_177_721,VPWR,li1,338.1000,486.8800,1.800000
FILLER_177_709,VPWR,li1,333.9600,486.8800,1.800000
FILLER_177_697,VPWR,li1,328.4400,486.8800,1.800000
FILLER_177_685,VPWR,li1,322.9200,486.8800,1.799999
FILLER_177_673,VPWR,li1,317.4000,486.8800,1.799999
FILLER_177_671,VPWR,li1,313.9500,486.8800,1.799999
FILLER_177_665,VPWR,li1,312.3400,486.8800,1.799999
FILLER_177_653,VPWR,li1,308.2000,486.8800,1.799999
FILLER_177_641,VPWR,li1,302.6800,486.8800,1.799999
FILLER_177_629,VPWR,li1,297.1600,486.8800,1.799998
FILLER_177_617,VPWR,li1,291.6400,486.8800,1.799998
FILLER_177_615,VPWR,li1,288.1900,486.8800,1.799998
FILLER_177_609,VPWR,li1,286.5800,486.8800,1.799998
FILLER_177_597,VPWR,li1,282.4400,486.8800,1.799998
FILLER_177_585,VPWR,li1,276.9200,486.8800,1.799998
FILLER_177_573,VPWR,li1,271.4000,486.8800,1.799998
FILLER_177_561,VPWR,li1,265.8800,486.8800,1.799997
FILLER_177_559,VPWR,li1,262.4300,486.8800,1.799997
FILLER_177_553,VPWR,li1,260.8200,486.8800,1.799997
FILLER_177_541,VPWR,li1,256.6800,486.8800,1.799997
FILLER_177_529,VPWR,li1,251.1600,486.8800,1.799997
FILLER_177_517,VPWR,li1,245.6400,486.8800,1.799997
FILLER_177_505,VPWR,li1,240.1200,486.8800,1.799996
FILLER_177_500,VPWR,li1,235.9800,486.8800,1.799996
FILLER_177_488,VPWR,li1,232.3000,486.8800,1.799996
FILLER_177_476,VPWR,li1,226.7800,486.8800,1.799996
FILLER_177_469,VPWR,li1,221.4900,486.8800,1.799996
FILLER_177_461,VPWR,li1,218.9600,486.8800,1.799996
FILLER_177_449,VPWR,li1,214.3600,486.8800,1.799996
FILLER_177_447,VPWR,li1,210.9100,486.8800,1.799996
FILLER_177_441,VPWR,li1,209.3000,486.8800,1.799996
FILLER_177_429,VPWR,li1,205.1600,486.8800,1.799997
FILLER_177_417,VPWR,li1,199.6400,486.8800,1.799997
FILLER_177_405,VPWR,li1,194.1200,486.8800,1.799997
FILLER_177_393,VPWR,li1,188.6000,486.8800,1.799998
FILLER_177_391,VPWR,li1,185.1500,486.8800,1.799998
FILLER_177_385,VPWR,li1,183.5400,486.8800,1.799998
FILLER_177_373,VPWR,li1,179.4000,486.8800,1.799998
FILLER_177_361,VPWR,li1,173.8800,486.8800,1.799998
FILLER_177_349,VPWR,li1,168.3600,486.8800,1.799998
FILLER_177_337,VPWR,li1,162.8400,486.8800,1.799997
FILLER_177_328,VPWR,li1,157.7800,486.8800,1.799997
FILLER_177_316,VPWR,li1,153.1800,486.8800,1.799996
FILLER_177_311,VPWR,li1,148.3500,486.8800,1.799996
FILLER_177_305,VPWR,li1,146.7400,486.8800,1.799996
FILLER_177_293,VPWR,li1,142.6000,486.8800,1.799996
FILLER_177_281,VPWR,li1,137.0800,486.8800,1.799996
FILLER_177_279,VPWR,li1,133.6300,486.8800,1.799996
FILLER_177_273,VPWR,li1,132.0200,486.8800,1.799996
FILLER_177_261,VPWR,li1,127.8800,486.8800,1.799996
FILLER_177_249,VPWR,li1,122.3600,486.8800,1.799996
FILLER_177_237,VPWR,li1,116.8400,486.8800,1.799996
FILLER_177_225,VPWR,li1,111.3200,486.8800,1.799996
FILLER_177_223,VPWR,li1,107.8700,486.8800,1.799997
FILLER_177_217,VPWR,li1,106.2600,486.8800,1.799997
FILLER_177_205,VPWR,li1,102.1200,486.8800,1.799997
FILLER_177_193,VPWR,li1,96.6000,486.8800,1.799997
FILLER_177_181,VPWR,li1,91.0800,486.8800,1.799997
FILLER_177_169,VPWR,li1,85.5600,486.8800,1.799997
FILLER_177_167,VPWR,li1,82.1100,486.8800,1.799997
FILLER_177_161,VPWR,li1,80.5000,486.8800,1.799997
FILLER_177_149,VPWR,li1,76.3600,486.8800,1.799997
FILLER_177_137,VPWR,li1,70.8400,486.8800,1.799997
FILLER_177_125,VPWR,li1,65.3200,486.8800,1.799998
FILLER_177_113,VPWR,li1,59.8000,486.8800,1.799998
FILLER_177_111,VPWR,li1,56.3500,486.8800,1.799998
FILLER_177_105,VPWR,li1,54.7400,486.8800,1.799998
FILLER_177_93,VPWR,li1,50.6000,486.8800,1.799998
FILLER_177_81,VPWR,li1,45.0800,486.8800,1.799998
FILLER_177_69,VPWR,li1,39.5600,486.8800,1.799998
FILLER_177_57,VPWR,li1,34.0400,486.8800,1.799998
FILLER_177_55,VPWR,li1,30.5900,486.8800,1.799998
FILLER_177_43,VPWR,li1,27.6000,486.8800,1.799999
FILLER_177_31,VPWR,li1,22.0800,486.8800,1.799999
FILLER_177_19,VPWR,li1,16.5600,486.8800,1.799998
FILLER_177_7,VPWR,li1,11.0400,486.8800,1.799998
FILLER_176_1057,VPWR,li1,491.5100,486.8800,1.799998
FILLER_176_1049,VPWR,li1,489.4400,486.8800,1.799998
FILLER_176_1037,VPWR,li1,484.8400,486.8800,1.799999
FILLER_176_1035,VPWR,li1,481.3900,486.8800,1.799999
FILLER_176_1029,VPWR,li1,479.7800,486.8800,1.799999
FILLER_176_1017,VPWR,li1,475.6400,486.8800,1.799999
FILLER_176_1005,VPWR,li1,470.1200,486.8800,1.799999
FILLER_176_993,VPWR,li1,464.6000,486.8800,1.799999
FILLER_176_981,VPWR,li1,459.0800,486.8800,1.799999
FILLER_176_979,VPWR,li1,455.6300,486.8800,1.799999
FILLER_176_973,VPWR,li1,454.0200,486.8800,1.799999
FILLER_176_961,VPWR,li1,449.8800,486.8800,1.799999
FILLER_176_949,VPWR,li1,444.3600,486.8800,1.799999
FILLER_176_937,VPWR,li1,438.8400,486.8800,1.799999
FILLER_176_925,VPWR,li1,433.3200,486.8800,1.799999
FILLER_176_923,VPWR,li1,429.8700,486.8800,1.799999
FILLER_176_917,VPWR,li1,428.2600,486.8800,1.799999
FILLER_176_905,VPWR,li1,424.1200,486.8800,1.799999
FILLER_176_893,VPWR,li1,418.6000,486.8800,1.799999
FILLER_176_881,VPWR,li1,413.0800,486.8800,1.799999
FILLER_176_869,VPWR,li1,407.5600,486.8800,1.799999
FILLER_176_867,VPWR,li1,404.1100,486.8800,1.799999
FILLER_176_861,VPWR,li1,402.5000,486.8800,1.799999
FILLER_176_849,VPWR,li1,398.3600,486.8800,1.799999
FILLER_176_837,VPWR,li1,392.8400,486.8800,1.799999
FILLER_176_825,VPWR,li1,387.3200,486.8800,1.799999
FILLER_176_813,VPWR,li1,381.8000,486.8800,1.799999
FILLER_176_811,VPWR,li1,378.3500,486.8800,1.799999
FILLER_176_805,VPWR,li1,376.7400,486.8800,1.799999
FILLER_176_793,VPWR,li1,372.6000,486.8800,1.799999
FILLER_176_781,VPWR,li1,367.0800,486.8800,1.799999
FILLER_176_769,VPWR,li1,361.5600,486.8800,1.799999
FILLER_176_757,VPWR,li1,356.0400,486.8800,1.799999
FILLER_176_755,VPWR,li1,352.5900,486.8800,1.800000
FILLER_176_749,VPWR,li1,350.9800,486.8800,1.800000
FILLER_176_737,VPWR,li1,346.8400,486.8800,1.800000
FILLER_176_725,VPWR,li1,341.3200,486.8800,1.800000
FILLER_176_713,VPWR,li1,335.8000,486.8800,1.800000
FILLER_176_701,VPWR,li1,330.2800,486.8800,1.800000
FILLER_176_699,VPWR,li1,326.8300,486.8800,1.800000
FILLER_176_693,VPWR,li1,325.2200,486.8800,1.800000
FILLER_176_681,VPWR,li1,321.0800,486.8800,1.799999
FILLER_176_669,VPWR,li1,315.5600,486.8800,1.799999
FILLER_176_657,VPWR,li1,310.0400,486.8800,1.799999
FILLER_176_645,VPWR,li1,304.5200,486.8800,1.799999
FILLER_176_643,VPWR,li1,301.0700,486.8800,1.799999
FILLER_176_637,VPWR,li1,299.4600,486.8800,1.799999
FILLER_176_625,VPWR,li1,295.3200,486.8800,1.799998
FILLER_176_613,VPWR,li1,289.8000,486.8800,1.799998
FILLER_176_601,VPWR,li1,284.2800,486.8800,1.799998
FILLER_176_589,VPWR,li1,278.7600,486.8800,1.799998
FILLER_176_587,VPWR,li1,275.3100,486.8800,1.799998
FILLER_176_581,VPWR,li1,273.7000,486.8800,1.799998
FILLER_176_569,VPWR,li1,269.5600,486.8800,1.799997
FILLER_176_557,VPWR,li1,264.0400,486.8800,1.799997
FILLER_176_545,VPWR,li1,258.5200,486.8800,1.799997
FILLER_176_533,VPWR,li1,253.0000,486.8800,1.799997
FILLER_176_531,VPWR,li1,249.5500,486.8800,1.799997
FILLER_176_525,VPWR,li1,247.9400,486.8800,1.799997
FILLER_176_513,VPWR,li1,243.8000,486.8800,1.799997
FILLER_176_501,VPWR,li1,238.2800,486.8800,1.799996
FILLER_176_489,VPWR,li1,232.7600,486.8800,1.799996
FILLER_176_477,VPWR,li1,227.2400,486.8800,1.799996
FILLER_176_475,VPWR,li1,223.7900,486.8800,1.799996
FILLER_176_469,VPWR,li1,222.1800,486.8800,1.799996
FILLER_176_457,VPWR,li1,218.0400,486.8800,1.799996
FILLER_176_445,VPWR,li1,212.5200,486.8800,1.799996
FILLER_176_433,VPWR,li1,207.0000,486.8800,1.799997
FILLER_176_421,VPWR,li1,201.4800,486.8800,1.799997
FILLER_176_419,VPWR,li1,198.0300,486.8800,1.799997
FILLER_176_413,VPWR,li1,196.4200,486.8800,1.799997
FILLER_176_401,VPWR,li1,192.2800,486.8800,1.799997
FILLER_176_389,VPWR,li1,186.7600,486.8800,1.799998
FILLER_176_377,VPWR,li1,181.2400,486.8800,1.799998
FILLER_176_365,VPWR,li1,175.7200,486.8800,1.799998
FILLER_176_363,VPWR,li1,172.2700,486.8800,1.799998
FILLER_176_357,VPWR,li1,170.6600,486.8800,1.799998
FILLER_176_345,VPWR,li1,166.5200,486.8800,1.799998
FILLER_176_333,VPWR,li1,161.0000,486.8800,1.799997
FILLER_176_321,VPWR,li1,155.4800,486.8800,1.799997
FILLER_176_309,VPWR,li1,149.9600,486.8800,1.799996
FILLER_176_302,VPWR,li1,145.3600,486.8800,1.799996
FILLER_176_290,VPWR,li1,141.2200,486.8800,1.799996
FILLER_176_287,VPWR,li1,137.3100,486.8800,1.799996
FILLER_176_275,VPWR,li1,134.3200,486.8800,1.799996
FILLER_176_263,VPWR,li1,128.8000,486.8800,1.799996
FILLER_176_259,VPWR,li1,124.4300,486.8800,1.799996
FILLER_176_253,VPWR,li1,122.8200,486.8800,1.799996
FILLER_176_251,VPWR,li1,120.7500,486.8800,1.799996
FILLER_176_245,VPWR,li1,119.1400,486.8800,1.799996
FILLER_176_233,VPWR,li1,115.0000,486.8800,1.799996
FILLER_176_221,VPWR,li1,109.4800,486.8800,1.799996
FILLER_176_209,VPWR,li1,103.9600,486.8800,1.799997
FILLER_176_197,VPWR,li1,98.4400,486.8800,1.799997
FILLER_176_195,VPWR,li1,94.9900,486.8800,1.799997
FILLER_176_189,VPWR,li1,93.3800,486.8800,1.799997
FILLER_176_177,VPWR,li1,89.2400,486.8800,1.799997
FILLER_176_165,VPWR,li1,83.7200,486.8800,1.799997
FILLER_176_153,VPWR,li1,78.2000,486.8800,1.799997
FILLER_176_141,VPWR,li1,72.6800,486.8800,1.799997
FILLER_176_139,VPWR,li1,69.2300,486.8800,1.799998
FILLER_176_133,VPWR,li1,67.6200,486.8800,1.799998
FILLER_176_121,VPWR,li1,63.4800,486.8800,1.799998
FILLER_176_109,VPWR,li1,57.9600,486.8800,1.799998
FILLER_176_97,VPWR,li1,52.4400,486.8800,1.799998
FILLER_176_85,VPWR,li1,46.9200,486.8800,1.799998
FILLER_176_83,VPWR,li1,43.4700,486.8800,1.799998
FILLER_176_77,VPWR,li1,41.8600,486.8800,1.799998
FILLER_176_65,VPWR,li1,37.7200,486.8800,1.799998
FILLER_176_53,VPWR,li1,32.2000,486.8800,1.799998
FILLER_176_41,VPWR,li1,26.6800,486.8800,1.799999
FILLER_176_29,VPWR,li1,21.1600,486.8800,1.799999
FILLER_176_27,VPWR,li1,17.7100,486.8800,1.799998
FILLER_176_19,VPWR,li1,15.6400,486.8800,1.799998
FILLER_176_7,VPWR,li1,11.0400,486.8800,1.799998
FILLER_175_1054,VPWR,li1,491.7400,481.4400,1.799994
FILLER_175_1042,VPWR,li1,487.1400,481.4400,1.799995
FILLER_175_1033,VPWR,li1,481.6200,481.4400,1.799995
FILLER_175_1021,VPWR,li1,477.4800,481.4400,1.799994
FILLER_175_1009,VPWR,li1,471.9600,481.4400,1.799992
FILLER_175_1007,VPWR,li1,468.5100,481.4400,1.799990
FILLER_175_1001,VPWR,li1,466.9000,481.4400,1.799990
FILLER_175_989,VPWR,li1,462.7600,481.4400,1.799989
FILLER_175_977,VPWR,li1,457.2400,481.4400,1.799986
FILLER_175_965,VPWR,li1,451.7200,481.4400,1.799985
FILLER_175_953,VPWR,li1,446.2000,481.4400,1.799983
FILLER_175_951,VPWR,li1,442.7500,481.4400,1.799981
FILLER_175_945,VPWR,li1,441.1400,481.4400,1.799981
FILLER_175_933,VPWR,li1,437.0000,481.4400,1.799980
FILLER_175_921,VPWR,li1,431.4800,481.4400,1.799977
FILLER_175_909,VPWR,li1,425.9600,481.4400,1.799976
FILLER_175_897,VPWR,li1,420.4400,481.4400,1.799974
FILLER_175_884,VPWR,li1,414.4600,481.4400,1.799971
FILLER_175_872,VPWR,li1,408.9400,481.4400,1.799969
FILLER_175_867,VPWR,li1,404.3400,481.4400,1.799968
FILLER_175_859,VPWR,li1,402.0400,481.4400,1.799967
FILLER_175_847,VPWR,li1,397.4400,481.4400,1.799966
FILLER_175_839,VPWR,li1,391.2300,481.4400,1.799964
FILLER_175_823,VPWR,li1,385.0200,481.4400,1.799963
FILLER_175_817,VPWR,li1,381.5700,481.4400,1.799963
FILLER_175_813,VPWR,li1,379.2700,481.4400,1.799963
FILLER_175_801,VPWR,li1,376.2800,481.4400,1.799963
FILLER_175_797,VPWR,li1,371.9100,481.4400,1.799962
FILLER_175_783,VPWR,li1,365.4700,481.4400,1.799964
FILLER_175_776,VPWR,li1,362.2500,481.4400,1.799965
